"","average","sd","ratio","ava","avb","cumsum","p"
"Candidatus.Handelsmanbacteria",0.000149652166025773,0.000225083568778671,0.664873792599798,0.000371981737554056,0.000132146350043563,0.98836629017695,0.5254
"Candidate Division WWE3",0.000139328708102664,0.000147577997182211,0.944102174869863,0.000211007803458867,0.000249363443598297,0.9887422277887,1
"Candidatus.Liptonbacteria",0.000134001169179306,0.000233095702879525,0.574876188294918,0.000267282226034664,4.22589974861178e-05,0.989103790600836,0.9912
"Candidatus.Nealsonbacteria",0.0001323090464842,0.000213256771840567,0.620421313434844,0.000273965844991847,8.77777177947461e-05,0.989460787716688,1
"Candidatus.Schekmanbacteria",0.000128223537885823,0.000155570136757447,0.82421691308107,0.000160119183678234,0.000220219410698618,0.989806761287098,0.9072
"Candidatus.Buchananbacteria",0.000121254008041884,0.000219970594640514,0.551228259577344,0.000257102603845595,7.01129349163757e-05,0.990133929627485,1
"Candidatus.Wolfebacteria",0.00011552920936948,0.000168971623333625,0.68371959202507,0.00022841541747324,0.000105801673098516,0.990445651279463,1
"Chlorobi",0.000111634479956305,9.24322514537288e-05,1.20774381452981,0.000286866164970572,0.000291686943668729,0.990746864147616,0.357
"Candidatus.Harrisonbacteria",0.000110040139316042,0.000177770305649392,0.619001800745447,0.00020801497921817,6.29839400110777e-05,0.991043775155651,0.9968
"Candidatus.Amesbacteria",0.000105798431167985,0.000233763691128612,0.452587100491056,0.000214356606946655,1.69067285783789e-05,0.99132924115962,0.9986
"Candidatus.Doudnabacteria",0.000101328882395759,0.00018257146049284,0.555009430949546,0.000203066340454823,7.25641310861979e-05,0.991602647398491,0.9986
"Candidatus.Jorgensenbacteria",0.000100381020222967,0.000167261122256144,0.600145562034694,0.000206200365207489,4.27550190477964e-05,0.991873496109582,1
"Candidatus.Wildermuthbacteria",9.86246896853948e-05,0.000154157257753709,0.63976676234708,0.00018435790405153,4.84613839571974e-05,0.992139605878378,0.9974
"Candidatus.Lloydbacteria",9.76420891632503e-05,0.000220661068706194,0.442498034364452,0.000185118584465079,5.22546064603888e-05,0.992403064388157,0.9774
"Fusobacteria",9.13193698934143e-05,6.70322552749274e-05,1.36231981930006,0.000181568107848273,0.000233988854157296,0.992649462896345,0.9974
"Candidatus.Ryanbacteria",8.84126498988148e-05,0.000136374009574044,0.648310115504901,0.000158159868115912,7.17256652723213e-05,0.992888018474043,0.9914
"Candidatus.Shapirobacteria",8.30655613923069e-05,0.000126342612954099,0.657462747129387,0.00018403628005929,6.05121819288286e-05,0.993112146503318,1
"Balneolaeota",8.06831663070755e-05,7.69090479619221e-05,1.04907248815539,7.54067391093943e-05,0.000202548925767053,0.993329846338929,0.0136
"Thermotogae",7.83430827763753e-05,6.20637492605806e-05,1.26230019471502,0.00014779512675956,0.000215290950766361,0.993541232146184,0.9064
"Candidatus.Azambacteria",7.74491472891406e-05,0.00017096866969356,0.453001988188586,0.000152098058050823,2.38561228372155e-05,0.993750205930987,1
"Candidatus.Adlerbacteria",7.62437030967674e-05,0.000108955949397334,0.699766313987373,0.000131765364664733,5.42345085422422e-05,0.993955927178556,0.9862
"Candidatus.Portnoybacteria",7.27515368738561e-05,0.000100856376866946,0.72133799699976,0.00015242937460964,6.90502215529985e-05,0.994152225840877,1
"Candidatus.Cloacimonetes",7.06931006190208e-05,5.94354881487942e-05,1.18940893430611,0.000132631227222729,0.00018754072267997,0.994342970417323,0.9392
"Candidatus.Hydrogenedentes",6.93734497548782e-05,0.000100958357814173,0.687149149974975,0.000224072381358439,0.000111098398489639,0.994530154303364,0.9628
"Chlamydiae",6.13418823999899e-05,5.80283128392235e-05,1.0571026348801,0.000148135486274298,0.000140624170781341,0.994695667362975,0.9996
"Calditrichaeota",6.1018363406427e-05,5.00219509551579e-05,1.21983173869262,4.42098543151238e-05,0.000146722584974333,0.994860307501567,6e-04
"Candidatus.Terrybacteria",6.06436181004293e-05,6.95523765746791e-05,0.871912953762487,8.08079462918761e-05,8.54663788414612e-05,0.995023936499976,1
"Candidatus.Bathyarchaeota",5.89596030028727e-05,6.53927043172578e-05,0.901623562115211,0.000142769769792513,4.60165219396765e-05,0.995183021678073,0.9024
"Candidatus.Berkelbacteria",5.8317917813178e-05,8.52471579026034e-05,0.68410395429027,0.000128335529473079,5.80176390902202e-05,0.995340375457086,1
"Candidatus.Tectomicrobia",5.82298003382526e-05,5.68625293980261e-05,1.02404520085021,0.000147808530410046,3.79132728453409e-05,0.995497491476964,0.6932
"Candidatus.Collierbacteria",5.70211819677786e-05,9.45492301488265e-05,0.60308457168846,0.000122370660688629,1.84963482488665e-05,0.995651346395021,1
"Fibrobacteres",5.53938997812615e-05,4.73735117415946e-05,1.16930110825254,0.000147818855215078,0.000147777764639721,0.995800810569869,0.6126
"Candidatus.Blackburnbacteria",5.1671886084257e-05,9.64609163341113e-05,0.535676915044859,0.00010301695881288,6.72644694358523e-06,0.995940231983543,0.9988
"Candidatus.Lindowbacteria",5.06366373591682e-05,8.04748576203711e-05,0.629223074839591,0.000111768737786263,2.17841675706421e-05,0.996076860082483,0.2928
"Candidatus.Yonathbacteria",5.05824741987376e-05,8.89818857209465e-05,0.568458105702185,9.002639469176e-05,4.87070915322655e-05,0.996213342038037,1
"Candidatus.Pacebacteria",4.96940307576368e-05,6.41199281139904e-05,0.775016944331134,9.13754712098487e-05,6.42946023970417e-05,0.996347426789813,1
"Candidatus.Glassbacteria",4.76088296674436e-05,8.88625390704253e-05,0.535758151471597,0.000119945970866462,5.86121055773584e-05,0.996475885238665,0.8986
"Candidatus.Micrarchaeota",4.70148309974678e-05,7.14345208502671e-05,0.658152815163623,0.000106108249809141,3.24795360722805e-05,0.996602740956504,0.9992
